name,num_simulations,solution_id,time_to_solve,sse,extraction_duration,infusion_duration,infusion_pressure,p0,p1,p2,p3,p4
Diagnostics_238_09DEC2021_860,2400,860,0:00:00.277350 hh:mm:ss,6.687319,19.1,7,1,6,8,8,7,5
Diagnostics_239_10DEC2021_1685,5400,1685,0:00:00.573043 hh:mm:ss,7.478866,21.0,8,1,6,8,8,7,5
Diagnostics_23_19FEB2021_1696,2304,1696,0:00:00.256234 hh:mm:ss,7.005208,20.6,6,1,5,8,6,6,6
Diagnostics_240_11DEC2021_448,2304,448,0:00:00.244419 hh:mm:ss,6.430923,20.6,7,1,5,8,8,6,5
Diagnostics_241_19DEC2021_2760,4320,2760,0:00:00.463785 hh:mm:ss,8.630747,24.7,7,1,7,9,7,5,6
Diagnostics_242_29DEC2021_632,896,632,0:00:00.096740 hh:mm:ss,8.255767,19.0,5,1,5,9,9,8,9
Diagnostics_243_30DEC2021_847,3402,847,0:00:00.384996 hh:mm:ss,8.064364,20.0,7,1,7,8,8,8,6
Diagnostics_244_30DEC2021_2060,2880,2060,0:00:00.301221 hh:mm:ss,5.350365,19.3,6,1,5,7,8,6,6
Diagnostics_245_31DEC2021_2716,4032,2716,0:00:00.418511 hh:mm:ss,7.276177,19.5,7,1,7,9,7,5,6
Diagnostics_246_01JAN2022_1352,2304,1352,0:00:00.239768 hh:mm:ss,6.283923,19.0,7,1,9,8,9,6,6
Diagnostics_247_02JAN2022_4648,6048,4648,0:00:00.639959 hh:mm:ss,5.96325,19.4,7,1,8,9,8,6,6
Diagnostics_248_04JAN2022_540,2880,540,0:00:00.301051 hh:mm:ss,7.102802,20.1,6,1,4,8,9,7,6
Diagnostics_249_05JAN2022_1572,4320,1572,0:00:00.457776 hh:mm:ss,8.131279,21.0,7,1,7,9,6,6,5
Diagnostics_24_21FEB2021_3008,3888,3008,0:00:00.409767 hh:mm:ss,8.233462,18.7,6,1,9,9,7,6,7
Diagnostics_250_06JAN2022_1626,2592,1626,0:00:00.276273 hh:mm:ss,6.241123,19.4,6,1,7,7,8,5,6
Diagnostics_251_07JAN2022_1104,3456,1104,0:00:00.366021 hh:mm:ss,8.446596,21.8,7,1,7,9,5,6,5
Diagnostics_252_08JAN2022_2105,4860,2105,0:00:00.522796 hh:mm:ss,7.38116,19.8,7,1,6,9,7,6,6
Diagnostics_253_09JAN2022_1860,4320,1860,0:00:00.476351 hh:mm:ss,8.941718,18.7,7,1,5,8,8,6,6
Diagnostics_254_10JAN2022_420,2160,420,0:00:00.231444 hh:mm:ss,10.3219,19.3,7,1,5,8,8,7,5
Diagnostics_255_11JAN2022_1575,2700,1575,0:00:00.286036 hh:mm:ss,7.099253,18.0,6,1,4,7,8,6,6
Diagnostics_256_12JAN2022_120,720,120,0:00:00.074826 hh:mm:ss,8.022582,17.8,8,1,4,5,6,5,5
Diagnostics_257_13JAN2022_450,2700,450,0:00:00.278288 hh:mm:ss,8.446104,18.3,7,1,4,7,8,7,5
Diagnostics_258_14JAN2022_1386,2016,1386,0:00:00.212432 hh:mm:ss,8.863117,19.7,6,1,6,7,8,5,6
Diagnostics_259_15JAN2022_3675,5400,3675,0:00:00.590508 hh:mm:ss,7.272196,18.6,6,1,4,8,8,6,6
Diagnostics_25_22FEB2021_1897,4536,1897,0:00:00.470301 hh:mm:ss,5.689667,20.0,6,1,8,8,7,6,6
Diagnostics_260_16JAN2022_3420,12960,3420,0:00:01.366647 hh:mm:ss,9.51144,19.8,6,1,4,8,8,7,2
Diagnostics_261_17JAN2022_928,1280,928,0:00:00.131648 hh:mm:ss,7.642739,19.4,7,1,5,8,8,6,6
Diagnostics_262_18JAN2022_504,2592,504,0:00:00.271876 hh:mm:ss,8.76887,18.4,7,1,5,8,8,7,5
Diagnostics_263_19JAN2022_384,1152,384,0:00:00.124666 hh:mm:ss,11.832905,18.0,9,1,4,6,7,6,4
Diagnostics_264_20JAN2022_2100,4050,2100,0:00:00.454076 hh:mm:ss,9.366165,19.1,8,1,4,7,8,6,6
Diagnostics_265_21JAN2022_1275,1800,1275,0:00:00.192143 hh:mm:ss,6.496826,19.8,6,1,4,8,7,6,6
Diagnostics_266_22JAN2022_540,2880,540,0:00:00.301450 hh:mm:ss,10.032174,18.1,8,1,4,6,8,6,5
Diagnostics_267_23JAN2022_2100,2700,2100,0:00:00.291377 hh:mm:ss,9.450171,19.3,8,1,4,7,8,6,6
Diagnostics_268_24JAN2022_1088,1536,1088,0:00:00.163588 hh:mm:ss,11.081466,18.5,8,1,4,7,8,6,6
Diagnostics_269_25JAN2022_1441,3240,1441,0:00:00.349082 hh:mm:ss,13.026129,19.0,10,2,4,6,8,6,6
Diagnostics_26_27FEB2021_608,1440,608,0:00:00.149115 hh:mm:ss,5.06545,17.1,6,1,5,8,8,6,6
Diagnostics_270_27JAN2022_1112,1728,1112,0:00:00.177896 hh:mm:ss,10.479927,18.7,8,1,4,8,8,5,6
Diagnostics_271_28JAN2022_901,2880,901,0:00:00.308568 hh:mm:ss,13.48263,19.2,9,2,4,6,8,7,5
Diagnostics_272_29JAN2022_315,720,315,0:00:00.074826 hh:mm:ss,12.294522,17.6,9,1,4,6,6,6,5
Diagnostics_273_03FEB2022_406,2016,406,0:00:00.215425 hh:mm:ss,9.629838,18.3,8,1,7,7,8,6,5
Diagnostics_274_04FEB2022_882,2268,882,0:00:00.238362 hh:mm:ss,8.759689,16.3,6,1,6,7,8,6,6
Diagnostics_275_05FEB2022_270,720,270,0:00:00.117193 hh:mm:ss,9.452135,18.7,8,1,4,5,6,6,5
Diagnostics_276_06FEB2022_540,1296,540,0:00:00.132671 hh:mm:ss,10.863045,18.0,8,1,5,6,6,6,6
Diagnostics_277_07FEB2022_1980,4860,1980,0:00:00.512822 hh:mm:ss,8.744207,19.0,8,1,5,8,8,6,6
Diagnostics_278_08FEB2022_936,3456,936,0:00:00.357718 hh:mm:ss,9.224284,20.4,7,1,6,9,8,6,5
Diagnostics_279_10FEB2022_3725,4860,3725,0:00:00.527589 hh:mm:ss,7.885514,19.3,7,1,6,9,7,6,6
Diagnostics_27_27FEB2021_1640,2160,1640,0:00:00.223403 hh:mm:ss,5.541253,16.3,5,1,6,8,7,6,6
Diagnostics_280_11FEB2022_1650,2400,1650,0:00:00.256449 hh:mm:ss,8.859818,17.3,7,1,4,7,8,6,6
Diagnostics_281_14FEB2022_3690,4860,3690,0:00:00.505706 hh:mm:ss,8.890012,21.0,7,1,5,9,7,6,6
Diagnostics_282_15FEB2022_3870,4860,3870,0:00:00.519638 hh:mm:ss,8.801862,20.7,6,1,5,8,8,6,6
Diagnostics_283_16FEB2022_720,2304,720,0:00:00.247339 hh:mm:ss,9.644795,17.6,6,1,5,7,8,7,5
Diagnostics_284_17FEB2022_861,2160,861,0:00:00.232407 hh:mm:ss,11.488064,20.1,9,2,6,8,6,6,5
Diagnostics_285_18FEB2022_375,2400,375,0:00:00.256288 hh:mm:ss,7.253275,20.0,6,1,4,8,7,5,5
Diagnostics_286_19FEB2022_1200,1440,1200,0:00:00.187472 hh:mm:ss,8.351809,23.8,9,1,4,7,5,6,6
Diagnostics_287_20FEB2022_856,1080,856,0:00:00.119799 hh:mm:ss,13.158249,21.8,10,2,4,6,6,6,6
Diagnostics_288_21FEB2022_1320,1440,1320,0:00:00.151594 hh:mm:ss,7.744863,20.6,7,1,4,6,6,6,6
Diagnostics_289_22FEB2022_1321,1440,1321,0:00:00.153238 hh:mm:ss,10.616131,19.3,8,2,4,6,6,6,6
Diagnostics_28_28FEB2021_1940,2880,1940,0:00:00.306224 hh:mm:ss,7.464148,22.2,5,1,7,8,7,5,6
Diagnostics_290_23FEB2022_225,720,225,0:00:00.077793 hh:mm:ss,11.30938,20.3,8,1,4,6,5,6,5
